,Symbol,Name
0,20MICRONS,20_Microns_Limited
1,3IINFOTECH,3i_Infotech_Limited
2,3MINDIA,3M_India_Limited
3,A2ZMES,A2Z_Maintenance_&_Engineering_Services_Limited
4,AANJANEYA,Aanjaneya_Lifecare_Limited
5,AARTIDRUGS,Aarti_Drugs_Limited
6,AARTIIND,Aarti_Industries_Limited
7,AARVEEDEN,Aarvee_Denims_&_Exports_Limited
8,ABAN,Aban_Offshore_Limited
9,ABB,ABB_Limited
10,ABCIL,Aditya_Birla_Chemicals_(India)_Limited
11,ABGSHIP,ABG_Shipyard_Limited
12,ABIRLANUVO,Aditya_Birla_Nuvo_Limited
13,ACC,ACC_Limited
14,ACE,Action_Construction_Equipment_Limited
15,ACKRUTI,Ackruti_City_Limited
16,ADANIENT,Adani_Enterprises_Limited
17,ACROPETAL,Acropetal_Technologies_Limited
18,ADANIPOWER,Adani_Power_Limited
19,ADFFOODS,ADF_Foods_Limited
20,ADHUNIK,Adhunik_Metaliks_Limited
21,ADORWELD,Ador_Welding_Limited
22,ADSL,Allied_Digital_Services_Limited
23,ADVANIHOTR,Advani_Hotels_&_Resorts_(India)_Limited
24,ADVANTA,Advanta_India_Limited
25,AEGISCHEM,Aegis_Logistics_Limited
26,AFL,Accel_Frontline_Limited
27,AFTEK,Aftek_Limited
28,AGCNET,AGC_Networks_Limited
29,AGRODUTCH,Agro_Dutch_Industries_Limited
30,AHLEAST,Asian_Hotels_(East)_Limited
31,AHLUCONT,Ahluwalia_Contracts_(India)_Limited
32,AHLWEST,Asian_Hotels_(West)_Limited
33,AHMEDFORGE,Ahmednagar_Forgings_Limited
34,AIAENG,AIA_Engineering_Limited
35,AICHAMP,AI_Champdany_Industries_Limited
36,AJANTPHARM,Ajanta_Pharma_Limited
37,AJMERA,Ajmera_Realty_&_Infra_India_Limited
38,AKSHOPTFBR,Aksh_Optifibre_Limited
39,AKZOINDIA,Akzo_Nobel_India_Limited
40,ALBK,Allahabad_Bank
41,ALCHEM,Alchemist_Limited
42,ALEMBICLTD,Alembic_Limited
43,ALFALAVAL,Alfa_Laval_(India)_Limited
44,ALICON,Alicon_Castalloy_Limited
45,ALKALI,Alkali_Metals_Limited
46,ALKYLAMINE,Alkyl_Amines_Chemicals_Limited
47,ALLCARGO,Allcargo_Global_Logistics_Limited
48,ALLSEC,Allsec_Technologies_Limited
49,ALMONDZ,Almondz_Global_Securities_Limited
50,ALOKTEXT,Alok_Industries_Limited
51,ALPHAGEO,Alphageo_(India)_Limited
52,AMAR,Amar_Remedies_Limited
53,AMARAJABAT,Amara_Raja_Batteries_Limited
54,ALPSINDUS,Alps_Industries_Limited
55,AMBIKCO,Ambika_Cotton_Mills_Limited
56,AMBUJACEM,Ambuja_Cements_Limited
57,AMDIND,AMD_Industries_Limited
58,AMTEKAUTO,Amtek_Auto_Limited
59,AMTEKINDIA,Amtek_India_Limited
60,ANANTRAJ,Anant_Raj_Industries_Limited
61,ANDHRABANK,Andhra_Bank
62,ANDHRSUGAR,The_Andhra_Sugars_Limited
63,ANGIND,ANG_Industries_Limited
64,ANIKINDS,Anik_Industries_Limited
65,ANDHRACEMT,Andhra_Cements_Limited
66,ANKURDRUGS,Ankur_Drugs_And_Pharma_Limited
67,ANSALAPI,Ansal_Properties_&_Infrastructure_Limited
68,ANSALHSG,Ansal_Housing_and_Construction_Limited
69,ANTGRAPHIC,Antarctica_Limited
70,APARINDS,Apar_Industries_Limited
71,APCOTEXIND,Apcotex_Industries_Limited
72,APIL,Alstom_Projects_India_Limited
73,APOLLOHOSP,Apollo_Hospitals_Enterprise_Limited
74,APOLLOTYRE,Apollo_Tyres_Limited
75,APPAPER,The_Andhra_Pradesh_Paper_Mills_Limited
76,APTECHT,Aptech_Limited
77,AQUA,Aqua_Logistics_Limited
78,ARCHIDPLY,Archidply_Industries_Limited
79,ARCHIES,Archies_Limited
80,AREVAT&D,Areva_T&D_India_Limited
81,ARIES,Aries_Agro_Limited
82,ARIHANT,Arihant_Foundations_&_Housing_Limited
83,ARL,Arvind_Remedies_Limited
84,AROGRANITE,Aro_Granite_Industries_Limited
85,ARROWTEX,Arrow_Textiles_Limited
86,ARSHIYA,Arshiya_International_Limited
87,ARSSINFRA,ARSS_Infrastructure_Projects_Limited
88,ARVIND,Arvind_Limited
89,ASAHIINDIA,Asahi_India_Glass_Limited
90,ASAL,Automotive_Stampings_and_Assemblies_Limited
91,ASHAPURMIN,Ashapura_Minechem_Limited
92,ASHCONIUL,Ashco_Niulab_Industries_Limited
93,ASHIANA,Ashiana_Housing_Limited
94,ASHIMASYN,Ashima_Limited
95,ASHOKA,Ashoka_Buildcon_Limited
96,ASHOKLEY,Ashok_Leyland_Limited
97,ASIANELEC,Asian_Electronics_Limited
98,ASIANHOTNR,Asian_Hotels_(North)_Limited
99,ASIANPAINT,Asian_Paints_Limited
100,ASIANTILES,Asian_Granito_India_Limited
101,ASIL,Amit_Spinning_Industries_Limited
102,ASSAMCO,Assam_Company_India_Limited
103,ASTEC,Astec_LifeSciences_Limited
104,ASTERSILI,Aster_Silicates_Limited
105,ASTRAL,Astral_Poly_Technik_Limited
106,ASTRAMICRO,Astra_Microwave_Products_Limited
107,ASTRAZEN,AstraZeneca_Pharma_India_Limited
108,ATFL,Agro_Tech_Foods_Limited
109,ATLANTA,Atlanta_Limited
110,ATLASCYCLE,Atlas_Cycles_(Haryana)_Limited
111,ATNINTER,ATN_International_Limited
112,ATUL,Atul_Limited
113,AURIONPRO,Aurionpro_Solutions_Limited
114,AUROPHARMA,Aurobindo_Pharma_Limited
115,AUSOMENT,Ausom_Enterprise_Limited
116,AUSTRAL,Austral_Coke_&_Projects_Limited
117,AUTOAXLES,Automotive_Axles_Limited
118,AUTOIND,Autoline_Industries_Limited
119,AUTOLITIND,Autolite_(India)_Limited
120,AVANTI,Avanti_Feeds_Limited
121,AVENTIS,Aventis_Pharma_Limited
122,AVTNPL,AVT_Natural_Products_Limited
123,AXISBANK,Axis_Bank_Limited
124,AXIS-IT&T,Axis-IT&T_Limited
125,BAGFILMS,B.A.G_Films_and_Media_Limited
126,BAJAJ-AUTO,Bajaj_Auto_Limited
127,BAJAJCORP,Bajaj_Corp_Limited
128,BAJAJELEC,Bajaj_Electricals_Limited
129,BAJAJFINSV,Bajaj_Finserv_Limited
130,BAJAJHIND,Bajaj_Hindusthan_Limited
131,BAJAJHLDNG,Bajaj_Holdings_&_Investment_Limited
132,BAJFINANCE,Bajaj_Finance_Limited
133,BALAJITELE,Balaji_Telefilms_Limited
134,BALAMINES,Balaji_Amines_Limited
135,BALKRISIND,Balkrishna_Industries_Limited
136,BALLARPUR,Ballarpur_Industries_Limited
137,BALMLAWRIE,Balmer_Lawrie_&_Company_Limited
138,BALPHARMA,Bal_Pharma_Limited
